text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
Is watchin @MrPhliGuy and @BeeDotKay  have the Hardest time turnin this game on lmao #basic foolsBigAnt52,,CommonSense52,7356736076,86697671,en,&lt;a href=&quot;/devices&quot; rel=&quot;nofollow&quot;&gt;txt&lt;/a&gt;,http://a1.twimg.com/profile_images/472020806/untitled_normal.bmp,,0,0,Mon 04 Jan 2010 05:00:26 +0000,1262581226
@ImToBlame @ThaTrail  A #basic chick will stop at nothing to be on TV. And VH1 will stop at nothing to facilitate it. Thank God for sports,80133909,djehewty,7357111319,87430988,en,&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;,http://a1.twimg.com/profile_images/548473324/flav_normal.jpg,,0,0,Mon 04 Jan 2010 05:14:48 +0000,1262582088
@AJizzle84 look in his timeline...he goin in on some #basic b****,27758621,missterrababy,7357217535,63360777,en,&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;,http://a1.twimg.com/profile_images/609797970/38612135_normal.jpg,,0,0,Mon 04 Jan 2010 05:18:58 +0000,1262582338
#tobehonest your gf is ugly and #basic so why dnt u jus draft urself to my team so i can show u how it feels to b w/ a real women lol,,lilmztiny,7357237822,24716161,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/606468276/twitterpic_normal.jpg,,0,0,Mon 04 Jan 2010 05:19:47 +0000,1262582387
But if everyone was the same and not different the world would be so #basic,,poorlilrichgir,7357405050,80116590,en,&lt;a href=&quot;http://twidroid.com&quot; rel=&quot;nofollow&quot;&gt;twidroid&lt;/a&gt;,http://a3.twimg.com/profile_images/606248931/0601_normal.jpg,,0,0,Mon 04 Jan 2010 05:26:33 +0000,1262582793
#tobehonest i dont reply to anything (tweets/text/ etc etc) cuz niggas always say #basic shit,,MsButtersWorth_,7357464132,87284567,en,&lt;a href=&quot;http://m.tuitwit.com&quot; rel=&quot;nofollow&quot;&gt;m.tuitwit.com&lt;/a&gt;,http://a3.twimg.com/profile_images/617216495/55652736-9085a6cddb708527af397f5705734c4d.4b4688cd-scaled_normal.jpg,,0,0,Mon 04 Jan 2010 05:28:59 +0000,1262582939
You unfollow me or get mad cuz I say sumthn that hits close 2 home you #basic,,Shunybun,7358219264,88221409,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/604970262/twitpic_normal.bmp,,0,0,Mon 04 Jan 2010 06:00:55 +0000,1262584855
@CourtneyGiiirl ikr lol #Basic,72087134,MechanicalGirly,7358661832,75243075,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/581462989/twitterProfilePhoto_normal.jpg,,0,0,Mon 04 Jan 2010 06:20:29 +0000,1262586029
.smh. @ #basic bxtches.,,da_slim_one,7358731405,7402772,en,&lt;a href=&quot;http://twidroid.com&quot; rel=&quot;nofollow&quot;&gt;twidroid&lt;/a&gt;,http://a3.twimg.com/profile_images/606294743/PICT0086_normal.JPG,,0,0,Mon 04 Jan 2010 06:23:39 +0000,1262586219
RT @da_slim_one: .smh. @ #basic bxtches.,,shaka_arichkid,7358772709,18758468,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/581800546/13650_180306913175_506213175_3075247_6694062_n_normal.jpg,,0,0,Mon 04 Jan 2010 06:25:36 +0000,1262586336
RT @ohhSMASH: Aint many like me tho! Lol RT @HerveyMaloneII: #WhereYouFindDemAt a ride or die chick like @ohhSMASH &gt; pssshhhh blah #basic?,,vinadrums227,7358844519,79181029,en,&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;,http://a1.twimg.com/profile_images/614244678/39487688_normal.jpg,,0,0,Mon 04 Jan 2010 06:28:56 +0000,1262586536
#DISHOEHERE TRYNA PUT RIMS ON  #BASIC CAR.. #FORD FOCUS,,spydathaking,7358876141,61422834,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/547063901/IMG_3045-1_normal.jpg,,0,0,Mon 04 Jan 2010 06:30:22 +0000,1262586622
i @jamcreekmore had a #basic moment messing with #twitterbeef iApologize for flooding your timeline,,jamcreekmore,7359001263,54045203,en,&lt;a href=&quot;http://www.tweetdeck.com/&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/611945210/39050894_normal.jpg,,0,0,Mon 04 Jan 2010 06:36:05 +0000,1262586965
RT @jamcreekmore: i @jamcreekmore had a #basic moment messing with #twitterbeef iApologize&gt;hey were all guilty of foolishness,,PariSade,7359084781,5548309,en,&lt;a href=&quot;http://socialscope.net&quot; rel=&quot;nofollow&quot;&gt;SocialScope&lt;/a&gt;,http://a1.twimg.com/profile_images/585971874/IMG00163_normal.jpg,,0,0,Mon 04 Jan 2010 06:40:06 +0000,1262587206
You really need 2 upgrade your life starting with yo #basic ass phone. IPhones now $99 come on ova!,,Shunybun,7359299511,88221409,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/604970262/twitpic_normal.bmp,,0,0,Mon 04 Jan 2010 06:50:31 +0000,1262587831
RT @Shunybun: You really need 2 upgrade your life starting with yo #basic ass phone. IPhones now $99 come on ova!-lol!!!,,Zaiyon,7359336349,70991205,en,&lt;a href=&quot;http://www.tweetdeck.com/&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/615379429/002_normal.JPG,,0,0,Mon 04 Jan 2010 06:52:18 +0000,1262587938
@Neekohle #lemmefindout u live 4 tha #basic drama 2 -smh-,1103952,SIR_KUSHINGTON,7359452046,61230087,en,&lt;a href=&quot;http://www.tweetdeck.com/&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/558243973/me_again_normal.jpg,,0,0,Mon 04 Jan 2010 06:57:59 +0000,1262588279
Just saw the most #BASIC twitter name and tweet EVER  -_-,,canu_diggit,7360028745,7245118,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/611161011/1129081521_normal.jpg,,0,0,Mon 04 Jan 2010 07:27:09 +0000,1262590029
@MsPanamaBOMB lmfao look at u all #basic an shit twittering from the web,71206367,leondro,7360086272,9220043,en,&lt;a href=&quot;http://twidroid.com&quot; rel=&quot;nofollow&quot;&gt;twidroid&lt;/a&gt;,http://a3.twimg.com/profile_images/114595955/IMG_0548-1_normal.jpg,,0,0,Mon 04 Jan 2010 07:30:11 +0000,1262590211
@BeeDotKay  Hell yea.. Usin all them same #basic lines..&quot; you got me fucked up&quot;&quot;you got the game fucked up&quot;&quot; wholetime though&quot; lmaoBigAnt52,54017169,CommonSense52,7360108110,86697671,en,&lt;a href=&quot;/devices&quot; rel=&quot;nofollow&quot;&gt;txt&lt;/a&gt;,http://a1.twimg.com/profile_images/472020806/untitled_normal.bmp,,0,0,Mon 04 Jan 2010 07:31:15 +0000,1262590275
#alljokesaside @MsPanamaBOMB ain't never been #basic in all her life we stay winnin,,leondro,7360286261,9220043,en,&lt;a href=&quot;http://twidroid.com&quot; rel=&quot;nofollow&quot;&gt;twidroid&lt;/a&gt;,http://a3.twimg.com/profile_images/114595955/IMG_0548-1_normal.jpg,,0,0,Mon 04 Jan 2010 07:40:43 +0000,1262590843
RT @leondro: #alljokesaside @MsPanamaBOMB ain't never been #basic in all her life we stay winnin,,MsPanamaBomb,7360348202,71206367,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/611010777/rotated_normal.jpg,,0,0,Mon 04 Jan 2010 07:44:03 +0000,1262591043
Question: Wouldn't it mk u #BASIC if u spendin ya rent $$ on real gucci &amp; real louis?? #IMJUSTSAYIN,,okflchiq84,7360458252,3014606,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/539689900/M3_normal.jpg,,0,0,Mon 04 Jan 2010 07:49:55 +0000,1262591395
So... my sister and @BCDixon12 gon' ignore my text? Some of the most #basic people I know. #SMH. I'm about to go to sleep.,,MisterSV3,7360483547,16029011,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/588564410/9224_1105366923542_1507830029_30246096_1298514_n_normal.jpg,,0,0,Mon 04 Jan 2010 07:51:15 +0000,1262591475
RT @Bleu_Moon: @kmthaoriginal @SydneyADebonair this nigga is giving away &quot;keys&quot; to his basement! he's #basic as hell,,kmthaoriginal,7360490447,12815520,en,&lt;a href=&quot;http://echofon.com/&quot; rel=&quot;nofollow&quot;&gt;Echofon&lt;/a&gt;,http://a1.twimg.com/profile_images/423631346/km_0001_normal.jpg,,0,0,Mon 04 Jan 2010 07:51:37 +0000,1262591497
So here's the simple #basic broad with the 5 star chick tattoo http://twitpic.com/vxetw (face included),,fearcediva,7361175218,5981384,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/595144563/twitter_normal.jpg,,0,0,Mon 04 Jan 2010 08:28:59 +0000,1262593739
man i was reading #whoremembers as whore members and was feeling hella confused...#basic lol,,lovebabyjones,7361214279,70748672,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/614538558/Photo_on_2010-01-06_at_17.02__2_normal.jpg,,0,0,Mon 04 Jan 2010 08:31:06 +0000,1262593866
